"","plot_code","year","month","day","is_stock","ingrowth_core_num","DaysBetween","time_step_minutes","core_id","core_sample_id","number_of_timesteps","estimate_of_120","method_of_estimate","date"
"1","ABC-01","2013","2","16","Y","1",0,10,"ABC-01_1","ABC-01_1_2013_2_16_Y",4,4.55374592680531,"Logarithmic",2013-02-16
"2","ABC-01","2013","2","16","Y","10",0,10,"ABC-01_10","ABC-01_10_2013_2_16_Y",4,2.29676783290233,"Logarithmic",2013-02-16
"3","ABC-01","2013","2","16","Y","11",0,10,"ABC-01_11","ABC-01_11_2013_2_16_Y",4,5.8516122482237,"Logarithmic",2013-02-16
"4","ABC-01","2013","2","16","Y","12",0,10,"ABC-01_12","ABC-01_12_2013_2_16_Y",4,2.90713478682342,"Logarithmic",2013-02-16
"5","ABC-01","2013","2","16","Y","13",0,10,"ABC-01_13","ABC-01_13_2013_2_16_Y",4,3.26220230894358,"Logarithmic",2013-02-16
"6","ABC-01","2013","2","16","Y","14",0,10,"ABC-01_14","ABC-01_14_2013_2_16_Y",4,1.34542318493138,"Logarithmic",2013-02-16
"7","ABC-01","2013","2","16","Y","15",0,10,"ABC-01_15","ABC-01_15_2013_2_16_Y",4,2.48145996657537,"Logarithmic",2013-02-16
"8","ABC-01","2013","2","16","Y","16",0,10,"ABC-01_16","ABC-01_16_2013_2_16_Y",4,5.50371496973365,"Logarithmic",2013-02-16
"9","ABC-01","2013","2","16","Y","2",0,10,"ABC-01_2","ABC-01_2_2013_2_16_Y",4,2.29356766046529,"Logarithmic",2013-02-16
"10","ABC-01","2013","2","16","Y","3",0,10,"ABC-01_3","ABC-01_3_2013_2_16_Y",4,5.80653761242868,"Logarithmic",2013-02-16
"11","ABC-01","2013","2","16","Y","4",0,10,"ABC-01_4","ABC-01_4_2013_2_16_Y",4,2.37907916769918,"Logarithmic",2013-02-16
"12","ABC-01","2013","2","16","Y","5",0,10,"ABC-01_5","ABC-01_5_2013_2_16_Y",4,3.30371302921531,"Logarithmic",2013-02-16
"13","ABC-01","2013","2","16","Y","6",0,10,"ABC-01_6","ABC-01_6_2013_2_16_Y",4,4.3958265664636,"Logarithmic",2013-02-16
"14","ABC-01","2013","2","16","Y","7",0,10,"ABC-01_7","ABC-01_7_2013_2_16_Y",4,2.19788948094239,"Logarithmic",2013-02-16
"15","ABC-01","2013","2","16","Y","8",0,10,"ABC-01_8","ABC-01_8_2013_2_16_Y",4,7.34590033786947,"Logarithmic",2013-02-16
"16","ABC-01","2013","2","16","Y","9",0,10,"ABC-01_9","ABC-01_9_2013_2_16_Y",4,6.42476038504252,"Logarithmic",2013-02-16
