"","plot_code","year","month","day","is_stock","ingrowth_core_num","my_data","DaysBetween","core_id","core_sample_id","number_of_timesteps","estimate_of_120","method_of_estimate","date"
"1","ABC-01","2013","2","16","Y","1",4.78,0,"ABC-01_1","ABC-01_1_2013_2_16",4,2413.44374456477,"Logarithmic",2013-02-16
"2","ABC-01","2013","2","16","Y","10",2.76,0,"ABC-01_10","ABC-01_10_2013_2_16",4,1140.72671418539,"Logarithmic",2013-02-16
"3","ABC-01","2013","2","16","Y","11",6.42,0,"ABC-01_11","ABC-01_11_2013_2_16",4,3027.99528160535,"Logarithmic",2013-02-16
"4","ABC-01","2013","2","16","Y","12",3.22,0,"ABC-01_12","ABC-01_12_2013_2_16",4,1489.55369567798,"Logarithmic",2013-02-16
"5","ABC-01","2013","2","16","Y","13",2.91,0,"ABC-01_13","ABC-01_13_2013_2_16",4,1788.27029292055,"Logarithmic",2013-02-16
"6","ABC-01","2013","2","16","Y","14",1.16,0,"ABC-01_14","ABC-01_14_2013_2_16",4,745.193914062673,"Logarithmic",2013-02-16
"7","ABC-01","2013","2","16","Y","15",1.66,0,"ABC-01_15","ABC-01_15_2013_2_16",4,1465.64445152363,"Logarithmic",2013-02-16
"8","ABC-01","2013","2","16","Y","16",2.73,0,"ABC-01_16","ABC-01_16_2013_2_16",4,3427.22974336499,"Logarithmic",2013-02-16
"9","ABC-01","2013","2","16","Y","2",2.79,0,"ABC-01_2","ABC-01_2_2013_2_16",4,1141.05857741636,"Logarithmic",2013-02-16
"10","ABC-01","2013","2","16","Y","3",5.8,0,"ABC-01_3","ABC-01_3_2013_2_16",4,3104.73638971287,"Logarithmic",2013-02-16
"11","ABC-01","2013","2","16","Y","4",3.13,0,"ABC-01_4","ABC-01_4_2013_2_16",4,1145.54687446276,"Logarithmic",2013-02-16
"12","ABC-01","2013","2","16","Y","5",2.24,0,"ABC-01_5","ABC-01_5_2013_2_16",4,1949.5555207292,"Logarithmic",2013-02-16
"13","ABC-01","2013","2","16","Y","6",5.6,0,"ABC-01_6","ABC-01_6_2013_2_16",4,2140.66470972984,"Logarithmic",2013-02-16
"14","ABC-01","2013","2","16","Y","7",2.18,0,"ABC-01_7","ABC-01_7_2013_2_16",4,1172.93350100081,"Logarithmic",2013-02-16
"15","ABC-01","2013","2","16","Y","8",8.68,0,"ABC-01_8","ABC-01_8_2013_2_16",4,3674.04012266979,"Logarithmic",2013-02-16
"16","ABC-01","2013","2","16","Y","9",7.07,0,"ABC-01_9","ABC-01_9_2013_2_16",4,3343.49623253832,"Logarithmic",2013-02-16
