"","Plot","Core","Tot.Roots.MgChayr"
"1","Belian","1",0.546397620355557
"2","BNorth","1",1.79334823285014
"3","BSouth","1",1.23775021325698
"4","E","1",8.40765387213093
"5","LF","1",1.60962649210086
"6","Seraya","1",0.743675443412132
"7","Tower","1",1.16998929758056
"8","Belian","10",1.28791284762502
"9","BNorth","10",2.95311753576067
"10","BSouth","10",0.502972634869243
"11","E","10",1.73648829213389
"12","LF","10",1.37841316693328
"13","Seraya","10",0.459504831294662
"14","Tower","10",1.40981932886419
"15","Belian","11",1.13481281055599
"16","BNorth","11",4.04473067451682
"17","BSouth","11",0.750067642333572
"18","E","11",0.73297438114294
"19","LF","11",1.70312851667304
"20","Seraya","11",0.83061979168907
"21","Tower","11",1.86419565291268
"22","Belian","12",1.39422772577683
"23","BNorth","12",0.480326226933182
"24","BSouth","12",0.856535541379505
"25","E","12",5.26854056337697
"26","LF","12",1.9253410186797
"27","Seraya","12",3.0009046378224
"28","Tower","12",0.571708630287353
"29","Belian","13",0.510468202677077
"30","BNorth","13",0.918730451318875
"31","BSouth","13",0.866924374854936
"32","E","13",0.881012118362499
"33","LF","13",1.3956635716339
"34","Seraya","13",0.610243193981733
"35","Tower","13",0.571520298696203
"36","Belian","14",0.546587236335216
"37","BNorth","14",0.961065651572154
"38","BSouth","14",0.511712766018583
"39","E","14",0.726039636504342
"40","LF","14",3.41032416320345
"41","Seraya","14",1.27820589714037
"42","Tower","14",1.18114712873514
"43","Belian","15",0.754480513796166
"44","BNorth","15",1.05838940865158
"45","BSouth","15",1.16015419705676
"46","E","15",1.26578302207931
"47","LF","15",1.22703448646935
"48","Seraya","15",1.71233335891033
"49","Tower","15",0.559503812012287
"50","Belian","16",0.988738580776859
"51","BNorth","16",0.279195891776501
"52","BSouth","16",1.14239803810198
"53","E","16",1.14221467716007
"54","LF","16",0.470029990714633
"55","Seraya","16",0.773111226802098
"56","Tower","16",1.60107363372056
"57","Belian","2",0.38126454001107
"58","BNorth","2",0.490344684303144
"59","BSouth","2",1.8570861469045
"60","E","2",7.82292340249937
"61","LF","2",1.29734687884481
"62","Seraya","2",0.260272327605834
"63","Tower","2",0.91204249930616
"64","Belian","3",1.09299324180399
"65","BNorth","3",1.45180907685061
"66","BSouth","3",1.3514826964814
"67","E","3",7.13450645132879
"68","LF","3",5.13527256892793
"69","Seraya","3",0.83104576858869
"70","Tower","3",1.22561971315647
"71","Belian","4",0.571281419105746
"72","BNorth","4",0.541505063694689
"73","BSouth","4",1.09217892964677
"74","E","4",2.55248611957606
"75","LF","4",2.84115094098182
"76","Seraya","4",0.231046430003113
"77","Tower","4",1.10534299088412
"78","Belian","5",1.57961606627908
"79","BNorth","5",1.03958784370377
"80","BSouth","5",2.18929010676635
"81","E","5",1.34444246848927
"82","LF","5",2.23642411878826
"83","Seraya","5",0.766650547059239
"84","Tower","5",0.802741492805624
"85","Belian","6",0.207816240742079
"86","BNorth","6",1.81231852254615
"87","BSouth","6",0.489207501625536
"88","E","6",2.19873961670398
"89","LF","6",2.92243263075188
"90","Seraya","6",0.548765603112561
"91","Tower","6",0.791017829489939
"92","Belian","7",0.406314770725655
"93","BNorth","7",3.87351116932042
"94","BSouth","7",0.447695115520542
"95","E","7",1.33493565938148
"96","LF","7",3.74552382874841
"97","Seraya","7",1.32011143472057
"98","Tower","7",1.56901424839362
"99","Belian","8",0.546397268565635
"100","BNorth","8",0.814398520094062
"101","BSouth","8",0.681409366816703
"102","E","8",0.772494697066188
"103","LF","8",2.40330314951584
"104","Seraya","8",0.338271937861444
"105","Tower","8",0.795068253190378
"106","Belian","9",1.23064271503908
"107","BNorth","9",0.885872964802202
"108","BSouth","9",0.976292388425036
"109","E","9",2.16228086161128
"110","LF","9",1.99126503868144
"111","Seraya","9",1.19968915558331
"112","Tower","9",0.819413646298929
